MUN,ZONA,SECAO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,BOULOS,MARCAL,NUNES,TABATA

71072,247,916,2070,2306641,3EAD69D7,20240927T142200,594082134754024338438318,20241006T080001,20241006T171254,307,246,43,99,62,16
71072,250,31,1040,2262705,FCF72852,20240927T110700,513204836153786065560583,20241006T080001,20241006T170402,281,167,40,67,32,15
71072,252,224,1023,2351854,9589B684,20240927T122000,129387886276190762409428,20241006T080001,20241006T170225,252,181,39,75,37,10
71072,253,111,1163,2031690,115FE61E,20240926T161800,967782239721857364304052,20241006T080058,20241006T170413,301,221,35,89,62,15
71072,253,412,1392,2348122,5BE8A6EA,20240926T163300,513237165367239202966960,20241006T080417,20241006T170420,303,245,28,106,63,23
71072,253,70,1120,1816008,8ED0AAEC,20240925T163300,967782459823597319521951,20241006T080001,20241006T170445,386,283,41,116,74,26
71072,254,128,1120,1812261,409189C9,20240928T124400,008197118366623208643241,20241006T080001,20241006T170116,382,261,31,105,74,12
71072,254,294,1228,1809846,9CDA26AD,20240927T122600,381935633833870082837394,20241006T080001,20241006T170402,357,265,37,114,63,24
71072,254,310,1120,1811296,409189C9,20240928T144900,078804415973266224881799,20241006T080001,20241006T170107,380,270,42,113,67,19
71072,254,354,1066,2346288,BF067254,20240926T171600,472844535837331280609941,20241006T080001,20241006T170105,304,234,41,94,51,14
71072,254,364,1333,2352048,F4E870E0,20240928T135600,836480961187794145468291,20241006T080001,20241006T170146,311,232,34,104,51,18
71072,254,481,1597,2279025,F4E870E0,20240928T150700,644561672168444126933661,20241006T080001,20241006T170657,54,40,15,18,,4
71072,256,345,1112,2348211,C8DE36E3,20240925T144900,361755462535288725116313,20241006T080001,20241006T170546,348,250,46,101,36,25
71072,257,172,1163,2261726,955174A2,20240928T110400,674897479976822438631027,20241006T080001,20241006T170514,366,247,48,100,55,15
71072,257,345,1023,2056833,1A949650,20240926T100400,664796760952525170613529,20241006T080001,20241006T170113,324,265,40,109,61,21
71072,327,474,1473,2312746,AE673D3F,20240928T154900,159633443056457096357710,20241006T080001,20241006T170227,311,233,32,98,54,25
71072,327,498,1449,2382491,54AD5D79,20240928T130700,220340090320800105508218,20241006T080308,20241006T170444,275,195,38,82,47,15
71072,347,402,1651,2057572,8176DDD1,20240927T095500,371869950309768490142748,20241006T080001,20241006T170331,376,287,51,122,66,15
71072,348,198,1562,2011121,735EB69C,20240926T154200,957638557136581203319840,20241006T080001,20241006T170334,291,227,36,96,60,12
71072,348,211,1260,1666203,B09474E2,20240929T135600,765719128867818797490821,20241006T080001,20241006T170205,263,206,29,86,40,19
71072,348,325,1570,2257866,D7E845F2,20240925T143700,876830831333569687951281,20241006T080001,20241006T171338,366,293,45,120,76,19
71072,348,476,1694,2073557,EB5FD2A2,20240925T161900,038446547815903656460981,20241006T080155,20241006T170336,329,254,44,107,54,14
71072,350,454,2003,1831533,6A5E4ABA,20240930T150800,856647008747110539174204,20241006T080001,20241006T170502,251,200,25,85,41,20
71072,350,649,1988,2059785,D1B7C673,20240926T173400,280990096488187180626517,20241006T080349,20241006T170545,358,286,65,117,52,21
71072,390,251,1139,2383204,19E6C5A6,20240927T105500,937483579756408266137801,20241006T080001,20241006T170209,347,265,48,108,40,35
71072,420,232,1155,2010484,AFE1F29A,20240926T140900,705120315162353651120861,20241006T080001,20241006T170326,312,241,38,97,51,14
